price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;grade;sqft_above;sqft_basement;yr_renovated;sqft_living15;sqft_lot15;ano;mes;dia_da_semana;trimestre;final_de_semana;fim_do_mes;semestre;dias_desde_inicio;estacao_Primavera;estacao_Verao;estacao_Outono;estacao_Inverno;sqft_lot_more_living;living_percent_total;percent_construcao_above;lot_15_compare;living_15_compare;mean_price_zipcode;age;age_renovated;bath_per_bed;bed_per_floor;grade_x_condition;bool_renovated;bool_basement;living_more_than_lot;dist_seattle;bool_renovated_45;bool_renovated_15
221900.0;3;1.0;1180;5650;1.0;0;0;3;7;1180;0;0;1340;5650;2014;10;0;4;0;0;2;164;0;0;1;0;6830;0.1728;1.0;1.0;0.8806;310612.7557;71;71;0.3333;3.0;21;0;0;0;0.1211;0;0
538000.0;3;2.25;2570;7242;2.0;0;0;3;7;2170;400;1991;1690;7639;2014;12;1;4;0;0;2;221;0;0;0;1;9812;0.2619;0.8444;0.948;1.5207;469455.7707;75;35;0.75;1.5;21;1;1;0;0.1155;1;0
180000.0;2;1.0;770;10000;1.0;0;0;3;6;770;0;0;2720;8062;2015;2;2;1;0;0;1;299;0;0;0;1;10770;0.0715;1.0;1.2404;0.2831;462480.0353;93;93;0.5;2.0;18;0;0;0;0.1648;0;0
604000.0;4;3.0;1960;5000;1.0;0;0;5;7;1050;910;0;1360;5000;2014;12;1;4;0;0;2;221;0;0;0;1;6960;0.2816;0.5357;1.0;1.4412;551688.673;61;61;0.75;4.0;35;0;1;0;0.1049;0;0
510000.0;3;2.0;1680;8080;1.0;0;0;3;8;1680;0;0;1800;7503;2015;2;2;1;0;0;1;292;0;0;0;1;9760;0.1721;1.0;1.0769;0.9333;685605.7755;39;39;0.6667;3.0;24;0;0;0;0.2873;1;0
1225000.0;4;4.5;5420;101930;1.0;0;0;3;11;3890;1530;0;4760;101930;2014;5;0;2;0;0;1;10;1;0;0;0;107350;0.0505;0.7177;1.0;1.1387;678163.0593;25;25;1.125;4.0;33;0;1;0;0.3309;1;0
257500.0;3;2.25;1715;6819;2.0;0;0;3;7;1715;0;0;2238;6819;2014;6;4;2;0;0;1;56;0;1;0;0;8534;0.201;1.0;1.0;0.7663;294111.2786;31;31;0.75;1.5;21;0;0;0;0.2965;1;0
291850.0;3;1.5;1060;9711;1.0;0;0;3;7;1060;0;0;1650;9711;2015;1;3;1;0;0;1;258;0;0;0;1;10771;0.0984;1.0;1.0;0.6424;302878.8821;63;63;0.5;3.0;21;0;0;0;0.1974;0;0
229500.0;3;1.0;1780;7470;1.0;0;0;3;7;1050;730;0;1780;8113;2015;4;2;2;0;0;1;348;1;0;0;0;9250;0.1924;0.5899;0.9207;1.0;359483.2396;66;66;0.3333;3.0;21;0;1;0;0.094;0;0
323000.0;3;2.5;1890;6560;2.0;0;0;3;7;1890;0;0;2390;7570;2015;3;3;1;0;0;1;314;1;0;0;0;8450;0.2237;1.0;0.8666;0.7908;366867.6;23;23;0.8333;1.5;21;0;0;0;0.3837;1;0
662500.0;3;2.5;3560;9796;1.0;0;0;3;8;1860;1700;0;2210;8925;2015;4;4;2;0;0;1;336;1;0;0;0;13356;0.2665;0.5225;1.0976;1.6109;617105.0851;61;61;0.8333;3.0;24;0;1;0;0.1872;0;0
468000.0;2;1.0;1160;6000;1.0;0;0;4;7;860;300;0;1330;6000;2014;5;1;2;0;0;1;25;1;0;0;0;7160;0.162;0.7414;1.0;0.8722;619900.5472;84;84;0.5;2.0;28;0;1;0;0.0929;0;0
310000.0;3;1.0;1430;19901;1.5;0;0;4;7;1430;0;0;1780;12697;2014;5;2;2;0;0;1;26;1;0;0;0;21331;0.067;1.0;1.5674;0.8034;462480.0353;99;99;0.3333;2.0;28;0;0;0;0.1817;0;0
400000.0;3;1.75;1370;9680;1.0;0;0;4;7;1370;0;0;1370;10208;2014;10;1;4;0;0;2;158;0;0;1;0;11050;0.124;1.0;0.9483;1.0;685605.7755;49;49;0.5833;3.0;28;0;0;0;0.2872;0;0
530000.0;5;2.0;1810;4850;1.5;0;0;3;7;1810;0;0;1360;4850;2015;3;3;1;0;0;1;314;1;0;0;0;6660;0.2718;1.0;1.0;1.3309;579053.4173;126;126;0.4;3.3333;21;0;0;0;0.0889;0;0
650000.0;4;3.0;2950;5000;2.0;0;3;3;9;1980;970;0;2140;4000;2015;1;5;1;1;0;1;267;0;0;0;1;7950;0.3711;0.6712;1.25;1.3785;424706.3559;47;47;0.75;2.0;27;0;1;0;0.0552;0;0
395000.0;3;2.0;1890;14040;2.0;0;0;3;7;1890;0;0;1890;14018;2014;7;3;3;0;1;2;90;0;1;0;0;15930;0.1186;1.0;1.0016;1.0;424788.7474;32;32;0.6667;1.5;21;0;0;0;0.3895;1;0
485000.0;4;1.0;1600;4300;1.5;0;0;4;7;1600;0;0;1610;4300;2014;5;3;2;0;0;1;27;1;0;0;0;5900;0.2712;1.0;1.0;0.9938;584827.5624;110;110;0.25;2.6667;28;0;0;0;0.0596;0;0
